iter	F1	Logloss
0	0.531220876	0.6908368862
1	0.5378228782	0.6886286368
2	0.5275251316	0.6863430636
3	0.5125968992	0.684305375
4	0.5002476474	0.6820145525
5	0.5092502434	0.6798428731
6	0.5116504854	0.6776536466
7	0.5262655205	0.6755101067
8	0.5135135135	0.6735411205
9	0.5202257761	0.6712567914
10	0.5154835636	0.668975728
11	0.5197740113	0.6669206768
12	0.5199811942	0.664746744
13	0.5199811942	0.6628114747
14	0.5173232084	0.6606941213
15	0.5197740113	0.6586199634
16	0.5176358437	0.6564720403
17	0.5178826896	0.6544428758
18	0.5178486435	0.6524822236
19	0.5094430993	0.6506763833
20	0.5065885798	0.648757795
21	0.4997530864	0.6468543792
22	0.4995064166	0.6449575497
23	0.4995064166	0.6431396607
24	0.4995064166	0.6413995388
25	0.5	0.6396678886
26	0.5	0.6377392475
27	0.4995064166	0.6358864884
28	0.5012285012	0.6340253329
29	0.505859375	0.632220027
30	0.4992614476	0.6304706205
31	0.5007422068	0.6286689571
32	0.5009861933	0.6269196706
33	0.504398827	0.6250708123
34	0.4997530864	0.6233226151
35	0.5	0.6215055689
36	0.5031941032	0.619575141
37	0.5	0.6178800824
38	0.50024667	0.616015038
39	0.4995054402	0.6142581705
40	0.5007392804	0.6126226697
41	0.5053974485	0.6109464044
42	0.5061064973	0.6092276594
43	0.5036818851	0.6077072478
44	0.5053763441	0.606105471
45	0.5019685039	0.6044620689
46	0.5	0.6028885882
47	0.5002476474	0.6013499922
48	0.5002476474	0.5997533739
49	0.5	0.5982256694
50	0.5	0.5966784558
51	0.5027053615	0.5951347288
52	0.5046454768	0.5934825093
53	0.5034347399	0.5919008901
54	0.5029469548	0.5904827311
55	0.5019685039	0.5889281849
56	0.5019685039	0.5873774229
57	0.5012309207	0.5858399179
58	0.5027000491	0.5843872408
59	0.5058708415	0.5828871507
60	0.5024582104	0.581446302
61	0.5004935834	0.5799469311
62	0.5017249877	0.5785455895
63	0.5029527559	0.5771258143
64	0.5036818851	0.5757692131
65	0.5031941032	0.5744080933
66	0.5066144047	0.5728995828
67	0.5061184533	0.5715328348
68	0.5058708415	0.5701600728
69	0.5053763441	0.5687600978
70	0.5051395007	0.5675061801
71	0.5051395007	0.5661775814
72	0.5051395007	0.564670185
73	0.5058823529	0.5633053318
74	0.5056344929	0.5620575294
75	0.5056344929	0.5606772687
76	0.5056344929	0.5593085859
77	0.5051395007	0.5579231136
78	0.5051395007	0.5565987353
79	0.5058708415	0.5553938877
80	0.5063663075	0.5541069926
81	0.5044160942	0.552864092
82	0.5049019608	0.551600242
83	0.5044160942	0.5502898827
84	0.5044160942	0.549101251
85	0.5051495831	0.5479032139
86	0.5061184533	0.5466495666
87	0.5051495831	0.5453862329
88	0.5051495831	0.5441444003
89	0.5058823529	0.542971417
90	0.5053868756	0.5417434282
91	0.5061184533	0.5404951527
92	0.5058939096	0.5392757812
93	0.5056455572	0.5379488757
94	0.5058823529	0.5367521733
95	0.5058939096	0.5357047813
96	0.5073457395	0.5345167927
97	0.5066144047	0.5334175715
98	0.5061304561	0.5323319646
99	0.5061425061	0.5310954613
100	0.5054080629	0.5300874819
101	0.5061425061	0.5288016785
102	0.5061425061	0.5277483793
103	0.5063913471	0.5265008433
104	0.5061425061	0.5253730478
105	0.5063913471	0.5243444442
106	0.5063913471	0.5232901531
107	0.5068762279	0.5222160639
108	0.507360157	0.5210478094
109	0.5066273932	0.520069148
110	0.5071253071	0.5189142325
111	0.5073746313	0.5178102084
112	0.5071253071	0.5167000228
113	0.5071253071	0.5157876801
114	0.5068762279	0.5147491915
115	0.5076092293	0.5136175624
116	0.5085910653	0.5125413227
117	0.5090909091	0.5114855565
118	0.5098425197	0.5104295014
119	0.5093596059	0.5093668325
120	0.5093596059	0.5084181313
121	0.5096106456	0.507424507
122	0.5096106456	0.5065962969
123	0.5098619329	0.5057615834
124	0.5098619329	0.5047345278
125	0.5088757396	0.5038080975
126	0.5096106456	0.5028399487
127	0.5098619329	0.5022802601
128	0.5093780849	0.5012645331
129	0.5091267884	0.5002765124
130	0.5088757396	0.4993485271
131	0.5088757396	0.4984821762
132	0.5091267884	0.4974650586
133	0.5091267884	0.4966442328
134	0.5086419753	0.4958687112
135	0.5086419753	0.4950016161
136	0.5086419753	0.4940745005
137	0.5086419753	0.4931371611
138	0.5098619329	0.4923061235
139	0.5086419753	0.4913797681
140	0.5088932806	0.4904925307
141	0.5088932806	0.4896253761
142	0.5088932806	0.4886860507
143	0.5088932806	0.4878205875
144	0.5088932806	0.486984651
145	0.5088932806	0.4861030242
146	0.5088932806	0.4852138451
147	0.5088932806	0.4843768971
148	0.5088932806	0.4836071251
149	0.5088932806	0.4827815459
150	0.5088932806	0.4819799693
151	0.5088932806	0.4812295251
152	0.5088932806	0.4804358351
153	0.5088932806	0.4795992896
154	0.5088932806	0.4788963054
155	0.5088932806	0.4780501176
156	0.5088932806	0.4772728444
157	0.5088932806	0.4764356846
158	0.5088932806	0.475766939
159	0.5088932806	0.4750089569
160	0.5088932806	0.4743817449
161	0.5088932806	0.4736392063
162	0.5088932806	0.4728818118
163	0.5081562037	0.4721642326
164	0.5088932806	0.4714171251
165	0.5081562037	0.4707267988
166	0.5088932806	0.4699871354
167	0.5076694706	0.4694059366
168	0.5084075173	0.4686812403
169	0.5084075173	0.4679468544
170	0.5084075173	0.4671261567
171	0.5079207921	0.4663606825
172	0.5069306931	0.4655586357
173	0.5064420218	0.4649232702
174	0.5061911838	0.4642379328
175	0.5061911838	0.4634378284
176	0.5071817732	0.4627654269
177	0.5074331021	0.4620748968
178	0.5074331021	0.4613462445
179	0.5074331021	0.46068561
180	0.5066931086	0.4599842388
181	0.5066931086	0.4594262814
182	0.5064420218	0.4588089614
183	0.5064420218	0.4582008981
184	0.5061911838	0.4575236027
185	0.5066931086	0.4569972241
186	0.5081723626	0.456347381
187	0.5074331021	0.4556805522
188	0.5081723626	0.4550471045
189	0.5086590797	0.4543825842
190	0.5089108911	0.4538258014
191	0.5089108911	0.4532683746
192	0.5089108911	0.4526967313
193	0.5089108911	0.4520043981
194	0.5089108911	0.4513396496
195	0.5089108911	0.4506790364
196	0.5081723626	0.4501343661
197	0.5089108911	0.4496155786
198	0.5081723626	0.4490223525
199	0.5081723626	0.4484063297
200	0.509162952	0.4477629666
201	0.509162952	0.4473253813
202	0.5084241824	0.4468332232
203	0.5084241824	0.4462280486
204	0.5084241824	0.4457675544
205	0.5086762519	0.4451342486
206	0.5086762519	0.4446145108
207	0.5084241824	0.4441266329
208	0.5084241824	0.4435553009
209	0.5086762519	0.4429920842
210	0.5091811414	0.4424404185
211	0.5094152626	0.4418697045
212	0.5091811414	0.4413288153
213	0.5089285714	0.4406977211
214	0.5089285714	0.4401268728
215	0.5099206349	0.439657062
216	0.5104063429	0.4391255054
217	0.5108910891	0.4385872234
218	0.5096678235	0.4381018384
219	0.5101535414	0.4374826812
220	0.5108910891	0.4370113126
221	0.5118811881	0.4364451243
222	0.5113974232	0.4359755794
223	0.5106593951	0.4355486104
224	0.5113974232	0.4349658687
225	0.5106593951	0.434515891
226	0.5106593951	0.4341708731
227	0.5101736973	0.4337703393
228	0.5101736973	0.4333533566
229	0.5116509668	0.4327985424
230	0.5113974232	0.4322706607
231	0.5113974232	0.4317669091
232	0.5121347202	0.4313023985
233	0.5121347202	0.4307799388
234	0.5131253096	0.4303529918
235	0.5138613861	0.4299436441
236	0.5138613861	0.4294591079
237	0.5138613861	0.4289320323
238	0.5136071252	0.4284229467
239	0.5138613861	0.4279365773
240	0.5138613861	0.4274490294
241	0.5136071252	0.4269050077
242	0.5150766189	0.4264371027
243	0.5155555556	0.4259581583
244	0.5162882527	0.4255635518
245	0.5170202269	0.4250421728
246	0.5170202269	0.4245745199
247	0.5155555556	0.424153952
248	0.5170202269	0.4236802348
249	0.5170202269	0.4232527219
250	0.5170202269	0.4228488894
251	0.5170202269	0.4224744668
252	0.5170202269	0.4222819665
253	0.5170202269	0.4218863498
254	0.5170202269	0.4214766949
255	0.5177514793	0.4210977059
256	0.5170202269	0.4206887318
257	0.5172754195	0.4204995005
258	0.5172754195	0.4200705111
259	0.5170202269	0.4196276818
