iter	Passed	Remaining
0	12	122009
1	22	112442
2	34	115571
3	42	105171
4	52	105605
5	60	100416
6	69	99376
7	77	96410
8	82	92072
9	90	90730
10	98	89900
11	106	88651
12	114	88248
13	122	87637
14	130	86896
15	138	86559
16	146	85940
17	153	84878
18	160	84305
19	170	85249
20	182	86613
21	190	86461
22	202	87919
23	214	89096
24	220	88118
25	230	88423
26	238	88152
27	246	87712
28	253	87050
29	260	86409
30	267	86086
31	275	85689
32	282	85320
33	289	84825
34	295	83999
35	301	83506
36	308	82953
37	313	82273
38	321	82119
39	326	81384
40	330	80190
41	333	79142
42	338	78408
43	341	77382
44	345	76404
45	349	75686
46	353	74918
47	357	74119
48	361	73314
49	363	72421
50	367	71694
51	370	70909
52	374	70213
53	377	69572
54	381	68933
55	386	68547
56	389	67973
57	392	67355
58	396	66801
59	403	66836
60	411	67042
61	419	67175
62	425	67129
63	432	67205
64	440	67301
65	447	67364
66	454	67420
67	461	67376
68	469	67552
69	475	67416
70	481	67305
71	491	67708
72	498	67757
73	505	67837
74	511	67691
75	519	67806
76	523	67426
77	527	67158
78	532	66872
79	535	66430
80	538	65990
81	542	65600
82	545	65214
83	549	64864
84	552	64484
85	556	64133
86	560	63814
87	563	63469
88	566	63134
89	570	62816
90	573	62499
91	577	62205
92	581	61905
93	584	61595
94	587	61289
95	590	60963
96	598	61066
97	606	61237
98	613	61330
99	620	61434
100	628	61591
101	636	61724
102	644	61885
103	651	62021
104	658	62081
105	665	62103
106	670	61986
107	675	61869
108	683	62020
109	690	62104
110	699	62319
111	706	62343
112	713	62406
113	717	62243
114	722	62077
115	726	61863
116	729	61648
117	733	61410
118	736	61171
119	740	60943
120	743	60715
121	746	60469
122	750	60277
123	753	60048
124	757	59820
125	760	59600
126	763	59368
127	766	59088
128	769	58854
129	772	58684
130	776	58487
131	780	58316
132	783	58133
133	787	58004
134	795	58142
135	802	58219
136	810	58344
137	818	58461
138	825	58563
139	832	58635
140	840	58751
141	847	58832
142	855	58946
143	863	59123
144	870	59135
145	876	59134
146	886	59441
147	898	59806
148	907	60006
149	916	60166
150	925	60349
151	933	60473
152	941	60626
153	949	60682
154	956	60777
155	964	60838
156	970	60875
157	979	60985
158	992	61440
159	999	61490
160	1011	61786
161	1022	62065
162	1032	62304
163	1041	62457
164	1048	62513
165	1054	62478
166	1060	62448
167	1066	62406
168	1071	62306
169	1077	62278
170	1081	62155
171	1085	62001
172	1088	61819
173	1091	61642
174	1094	61470
175	1098	61329
176	1102	61159
177	1105	61013
178	1108	60840
179	1112	60712
180	1116	60562
181	1125	60693
182	1131	60695
183	1138	60753
184	1147	60905
185	1155	60970
186	1166	61189
187	1172	61186
188	1179	61217
189	1190	61471
190	1200	61641
191	1209	61769
192	1219	61964
193	1227	62029
194	1235	62115
195	1245	62301
196	1253	62378
197	1262	62498
198	1272	62682
199	1279	62689
200	1284	62636
201	1289	62537
202	1293	62421
203	1296	62259
204	1300	62122
205	1307	62174
206	1311	62049
207	1316	61971
208	1321	61913
209	1325	61804
210	1329	61671
211	1332	61529
212	1338	61484
213	1344	61462
214	1350	61473
215	1356	61424
216	1360	61345
217	1364	61217
218	1368	61097
219	1371	60963
220	1374	60833
221	1378	60700
222	1381	60576
223	1386	60510
224	1394	60585
225	1401	60627
226	1406	60564
227	1414	60610
228	1417	60488
229	1425	60558
230	1431	60554
231	1437	60543
232	1443	60521
233	1449	60508
234	1454	60423
235	1457	60312
236	1462	60249
237	1466	60135
238	1469	60022
239	1473	59903
240	1476	59791
241	1480	59682
242	1483	59573
243	1487	59487
244	1491	59371
245	1495	59288
246	1499	59205
247	1503	59122
248	1507	59018
249	1511	58939
250	1515	58851
251	1519	58767
252	1521	58605
253	1524	58511
254	1528	58401
255	1531	58302
256	1535	58209
257	1537	58056
258	1546	58156
259	1554	58232
260	1560	58212
261	1566	58215
262	1575	58333
263	1584	58427
264	1593	58527
265	1600	58554
266	1608	58639
267	1617	58720
268	1624	58751
269	1632	58817
270	1643	59005
271	1650	59026
272	1660	59149
273	1669	59250
274	1675	59260
275	1686	59425
276	1695	59520
277	1704	59605
278	1708	59520
279	1711	59399
280	1714	59304
281	1718	59234
282	1722	59139
283	1726	59062
284	1729	58957
285	1733	58867
286	1736	58771
287	1740	58710
288	1744	58616
289	1748	58531
290	1751	58440
291	1755	58369
292	1758	58273
293	1762	58185
294	1765	58094
295	1769	58001
296	1772	57914
297	1776	57829
298	1780	57779
299	1790	57877
300	1799	57969
301	1806	58011
302	1813	58024
303	1819	58043
304	1825	58025
305	1835	58142
306	1842	58160
307	1847	58136
308	1854	58165
309	1860	58142
310	1863	58064
311	1868	58007
312	1876	58062
313	1883	58108
314	1889	58098
315	1900	58230
316	1909	58329
317	1919	58453
318	1928	58513
319	1933	58498
320	1938	58455
321	1942	58395
322	1950	58433
323	1955	58394
324	1961	58385
325	1968	58410
326	1972	58342
327	1977	58311
328	1985	58363
329	1989	58292
330	1998	58388
331	2006	58421
332	2014	58484
333	2022	58530
334	2029	58549
335	2039	58657
336	2047	58705
337	2055	58750
338	2064	58829
339	2073	58903
340	2079	58900
341	2087	58937
342	2095	58997
343	2103	59048
344	2111	59084
345	2118	59123
346	2126	59151
347	2134	59211
348	2142	59255
349	2150	59292
350	2158	59350
351	2168	59434
352	2181	59628
353	2192	59749
354	2201	59801
355	2209	59856
356	2217	59888
357	2225	59940
358	2235	60038
359	2247	60176
360	2257	60280
361	2264	60299
362	2272	60336
363	2276	60260
364	2283	60274
365	2288	60251
366	2292	60182
367	2296	60110
368	2301	60065
369	2305	59999
370	2307	59900
371	2311	59822
372	2315	59755
373	2319	59689
374	2323	59635
375	2327	59564
376	2331	59518
377	2335	59451
378	2343	59499
379	2350	59512
380	2357	59519
381	2367	59597
382	2371	59545
383	2375	59488
384	2384	59550
385	2389	59523
386	2395	59493
387	2403	59550
388	2411	59573
389	2419	59623
390	2425	59612
391	2436	59723
392	2444	59754
393	2452	59796
394	2464	59921
395	2473	59981
396	2483	60075
397	2492	60144
398	2501	60204
399	2505	60128
400	2511	60111
401	2519	60142
402	2523	60093
403	2531	60140
404	2536	60088
405	2540	60031
406	2544	59973
407	2548	59906
408	2552	59844
409	2555	59780
410	2559	59714
411	2563	59652
412	2567	59591
413	2571	59531
414	2578	59564
415	2587	59620
416	2595	59637
417	2602	59650
418	2608	59654
419	2616	59689
420	2621	59636
421	2627	59644
422	2633	59628
423	2640	59630
424	2643	59567
425	2647	59508
426	2654	59505
427	2661	59525
428	2668	59524
429	2673	59509
430	2680	59507
431	2688	59550
432	2696	59580
433	2704	59619
434	2708	59564
435	2714	59550
436	2718	59495
437	2725	59495
438	2730	59468
439	2737	59471
440	2741	59416
441	2745	59359
442	2749	59309
443	2754	59284
444	2756	59186
445	2760	59124
446	2763	59067
447	2767	59004
448	2775	59040
449	2784	59088
450	2791	59113
451	2800	59155
452	2804	59114
453	2813	59167
454	2816	59086
455	2824	59114
456	2831	59122
457	2841	59206
458	2851	59280
459	2858	59278
460	2865	59290
461	2872	59298
462	2880	59325
463	2891	59420
464	2903	59532
465	2912	59582
466	2924	59691
467	2930	59695
468	2941	59769
469	2949	59808
470	2960	59904
471	2979	60145
472	2992	60268
473	3003	60368
474	3015	60468
475	3022	60474
476	3030	60498
477	3038	60524
478	3047	60566
479	3056	60624
480	3065	60666
481	3074	60714
